11	1	21
32	4	24
37	8	23
31	10	22
8	14	6
3	5	3
34	3	23
4	3	7
30	2	10
22	8	21
5	6	28
7	4	18
48	9	29
20	4	6
41	8	19
8	3	26
15	10	13
18	3	3
6	2	25
23	1	5
23	5	1
3	8	9
39	1	20
30	2	22
5	5	28
29	4	18
30	7	26
23	2	26
14	11	7
43	1	5
37	8	17
42	14	28
9	11	1
17	6	5
10	10	17
34	4	26
6	8	26
12	12	17
13	1	5
7	11	23
5	13	29
27	13	17
9	4	11
1	6	14
29	4	3
37	4	13
16	9	15
16	11	16
13	7	20
48	9	27
39	1	1
12	4	13
9	9	25
2	8	1
27	2	4
21	10	17
24	8	22
36	12	5
15	11	5
24	5	11
44	3	19
22	4	11
23	6	1
32	8	19
30	5	3
24	11	19
21	12	25
5	7	3
10	1	7
42	14	14
14	10	10
24	2	9
18	2	26
37	14	9
27	12	28
5	2	16
5	12	29
26	1	14
26	12	21
28	4	6
7	9	13
28	6	26
16	2	5
39	2	20
39	10	26
28	8	20
8	2	27
34	11	3
24	11	19
42	14	11
30	12	26
34	9	10
43	14	14
3	11	1
19	5	21
16	11	12
30	14	7
3	6	4
14	7	26
17	2	18
13	7	5
40	3	9
40	2	2
26	10	18
10	2	10
44	5	14
19	3	1
11	4	1
7	8	12
38	6	6
23	8	27
43	12	10
43	9	4
21	8	19
18	2	8
31	12	9
38	6	4
21	14	27
29	1	7
8	10	19
44	1	20
42	1	5
34	5	9
1	1	22
18	14	19
19	12	5
37	7	21
5	14	2
3	1	18
49	4	23
6	10	27
23	8	15
49	8	1
6	14	15
1	11	10
20	1	28
13	3	6
3	6	6
46	12	2
30	12	1
28	10	2
26	13	10
41	13	14
8	6	10
8	9	17
10	2	7
36	10	29
32	11	3
29	1	9
36	8	21
23	6	21
1	8	7
23	7	25
49	8	6
25	2	24
42	13	23
31	11	21
40	13	4
2	13	29
48	14	25
4	2	11
37	10	1
31	2	3
16	11	17
19	11	3
40	2	19
13	11	5
25	2	24
49	10	15
29	14	18
13	7	17
2	14	14
41	11	12
41	4	22
35	5	29
7	6	5
3	3	23
18	10	6
33	8	1
28	11	2
25	1	5
24	1	8
1	6	24
32	14	12
11	7	16
21	12	24
40	13	8
17	8	23
41	13	23
19	6	11
23	4	29
18	5	5
30	4	8
37	2	2
18	6	7
19	2	9
33	4	23
11	11	27
40	3	15
19	9	5
